Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,MFG BY,BIS No,BIS SEC,MRP,IMAGE
Polis 15,AOSL1580,240V AC,NA,3000K, CRI>80, φ75*135mm, 60°,15W,AJ/CG,AOSL1580/30/60/B/S,,,,16199,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC3f9WtGd%2FPolis.png&output=webp&q=78
Polis 25,AOLS2510,240V AC,NA,3000K, CRI>80, φ75*135mm, 18°,25W,AJ/CG,AOLS2510/30/18/B/S,,,,23199,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC3f9WtGd%2FPolis.png&output=webp&q=78
Polis 25,AOLS2510,240V AC,NA,3000K, CRI>80, φ75*135mm, 24°,25W,AJ/CG,AOLS2510/30/24/B/S,,,,23199,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC3f9WtGd%2FPolis.png&output=webp&q=78
Polis 25,AOLS2510,240V AC,NA,3000K, CRI>80, φ75*135mm, 38°,25W,AJ/CG,AOLS2510/30/38/B/S,,,,23199,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC3f9WtGd%2FPolis.png&output=webp&q=78
Polis 25,AOLS2510,240V AC,NA,3000K, CRI>80, φ75*135mm, 60°,25W,AJ/CG,AOLS2510/30/60/B/S,,,,23199,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC3f9WtGd%2FPolis.png&output=webp&q=78
Caph,AOGLL255,240V AC,NA,3000K, CRI>80, φ48*115mm, 10°,2W,AJ/CG,AOGLL255/30/10/R,,,,6749,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FNgj3fm2k%2FCaph.png&output=webp&q=78
Caph,AOGLL255,240V AC,NA,3000K, CRI>80, φ48*115mm, 25°,2W,AJ/CG,AOGLL255/30/25/R,,,,6749,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FNgj3fm2k%2FCaph.png&output=webp&q=78
Caph,AOGLL255,240V AC,NA,3000K, CRI>80, φ48*115mm, 35°,2W,AJ/CG,AOGLL255/30/35/R,,,,6749,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FNgj3fm2k%2FCaph.png&output=webp&q=78
Caph,AOGLL255,240V AC,NA,3000K, CRI>80, φ48*115mm, 40°,2W,AJ/CG,AOGLL255/30/40/R,,,,6749,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FNgj3fm2k%2FCaph.png&output=webp&q=78
Caph,AOGLL255,240V AC,NA,3000K, CRI>80, φ48*115mm, 15°,2W,AJ/CG,AOGLL255/30/15/C,,,,6749,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FQvm2JHgz%2FCaph-2-C.png&output=webp&q=78
